,name,index,coordinates,northeast,southwest
98,תל שאע'ר בזאר,0,"(36.8745742, 40.8981943)","(36.87546252989272, 40.89974697989273)","(36.87276287010728, 40.89704732010728)"

99,צ'וגה מיש,0,"(32.2088061, 48.5452242)","(32.2126604, 48.5493336)","(32.2058095, 48.5416386)"

100,צ'וגה זנביל,0,"(32.0090545, 48.5215684)","(32.01040432989272, 48.52291822989272)","(32.00770467010727, 48.52021857010728)"

101,Delibaba Szendvicsműhely,0,"(47.5018533, 19.0491581)","(47.50319767989272, 19.05046102989272)","(47.50049802010728, 19.04776137010728)"

102,הגנים התלויים בבבל,0,"(32.5422787, 44.4208893)","(32.54387322989272, 44.42203115000001)","(32.54117357010728, 44.41746375)"

103,עירק,1,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

104,שגרירות ארצות הברית בבגדאד,2,"(33.2987416, 44.3959129)","(33.29962377989272, 44.39733587989272)","(33.29692412010728, 44.39463622010727)"

105,المركز الإقليمي للتدريب DER Training Centre,3,"(33.3506708, 44.3769225)","(33.35214402989272, 44.37818927989272)","(33.34944437010728, 44.37548962010728)"

106,כורדיסטאן העיראקית,4,"(36.4103395, 44.38719529999999)","(37.3712486, 46.3320922)","(34.4539171, 41.2783813)"

107,ארביל,5,"(36.190073, 43.9930303)","(36.2661445, 44.10179610000001)","(36.1284471, 43.91613)"

108,Dera Shish,6,"(37.3266906, 42.8001138)","(37.32879210000001, 42.8026271)","(37.3236561, 42.7965116)"

109,מחוז די קאר,7,"(31.1042292, 46.3624686)","(31.9975451, 47.2104141)","(30.564833, 45.643673)"

110,Badra,8,"(32.9992651, 45.8279734)","(33.4761266, 46.3372421)","(32.73415120000001, 45.4971313)"

111,המוזיאון הלאומי של עיראק,9,"(33.3284501, 44.3859098)","(33.32935942989272, 44.38738662989272)","(33.32665977010728, 44.38468697010728)"

112,OXY,10,"(33.281304, 44.388067)","(33.28263877989273, 44.38936502989272)","(33.27993912010729, 44.38666537010728)"

113,Der Salman,11,"(33.4800397, 36.4999898)","(33.4879386, 36.5071176)","(33.4743906, 36.4935136)"

114,consulate General of the Republic of Iraq,12,"(50.1116247, 8.662969)","(50.11294397989273, 8.664196479892722)","(50.11024432010728, 8.661496820107278)"

115,Değirmenköy,0,"(41.098709, 28.00971)","(41.10002082989271, 28.01112487989272)","(41.09732117010727, 28.00842522010727)"

116,דיאלה,0,"(33.7733487, 45.1494505)","(35.1153911, 46.033497)","(33.006982, 44.292854)"

117,דיאלה,0,"(33.7733487, 45.1494505)","(35.1153911, 46.033497)","(33.006982, 44.292854)"

